Region,District,Village
Tigray,Medebay-Zana,Mesehle
Tigray,Saharti Samre,Gijet
Tigray,Saharti Samre,Gijet
Tigray,Saharti Samre,Gijet
Tigray,Saharti Samre,Gijet
Tigray,Saharti Samre,Gijet
Tigray,Saharti Samre,Gijet
Tigray,Saharti Samre,Gijet
Tigray,Saharti Samre,Gijet
Tigray,Saharti Samre,Gijet
Tigray,Saharti Samre,Gijet
Tigray,Ganta-afeshum,Adekiney
Tigray,Ganta-afeshum,Adekiney
Tigray,Ganta-afeshum,Adekiney
Tigray,Ganta-afeshum,Adekiney
Tigray,Ganta-afeshum,Adekiney
Tigray,Ganta-afeshum,Adekiney
Tigray,Ganta-afeshum,Adekiney
Tigray,Ganta-afeshum,Adekiney
Tigray,Ganta-afeshum,Adekiney
Tigray,Ganta-afeshum,Adekiney
Tigray,Ganta-afeshum,Adekiney
Tigray,Ganta-afeshum,Adekiney
Tigray,Ganta-afeshum,Adekiney
Tigray,Ganta-afeshum,Adekiney
Tigray,Ganta-afeshum,Adekiney
Tigray,TanquaAbergele,Mearey
Tigray,TanquaAbergele,Mearey
Tigray,TanquaAbergele,Mearey
Tigray,TanquaAbergele,Mearey
Tigray,TanquaAbergele,Mearey
Tigray,Saharti Samre,Hintsa
Tigray,Saharti Samre,Hintsa
Tigray,Saharti Samre,Hintsa
Tigray,Saharti Samre,Hintsa
Tigray,Saharti Samre,Hintsa
Tigray,Saharti Samre,Hintsa
Tigray,Saharti Samre,Hintsa
Tigray,Saharti Samre,Hintsa
Tigray,Saharti Samre,Hintsa
Tigray,Saharti Samre,Hintsa
Tigray,Ofla,Adishimbirkti
Tigray,Ofla,Adishimbirkti
Tigray,Ofla,Adishimbirkti
Tigray,Ofla,Adishimbirkti
Tigray,Ofla,Adishimbirkti
Tigray,Ofla,Zata
Tigray,Ofla,Zata
Tigray,Ofla,Zata
Tigray,Ofla,Zata
Tigray,Ofla,Zata
Tigray,Ofla,Fala
Tigray,Ofla,Fala
Tigray,Ofla,Fala
Tigray,Ofla,Fala
Tigray,Ofla,Fala
Tigray,Alamata,Tsetsera
Tigray,Alamata,Tsetsera
Tigray,Alamata,Tsetsera
Tigray,Alamata,Tsetsera
Tigray,Alamata,Tsetsera
Tigray,Alamata,Sorya
Tigray,Alamata,Sorya
Tigray,Alamata,Sorya
Tigray,Alamata,Sorya
Tigray,Alamata,Sorya
Tigray,Samre,MayTeklia
Tigray,Samre,MayTeklia
Tigray,Samre,MayTeklia
Tigray,Samre,MayTeklia
Tigray,Samre,MayTeklia
Amhara,Libo Kemkem,Bilb Wuha
Amhara,Libo Kemkem,Bilb Wuha
Amhara,Libo Kemkem,Bilb Wuha
Amhara,Libo Kemkem,Bilb Wuha
Amhara,Libo Kemkem,Bilb Wuha
Tigray,RayaAzebo,HadeAlga
Tigray,RayaAzebo,HadeAlga
Tigray,RayaAzebo,HadeAlga
Tigray,RayaAzebo,HadeAlga
Tigray,RayaAzebo,HadeAlga
Tigray,RayaAzebo,HadeAlga
Tigray,RayaAzebo,HadeAlga
Tigray,RayaAzebo,HadeAlga
Tigray,RayaAzebo,HadeAlga
Tigray,RayaAzebo,HadeAlga
Amhara,LiboKemikem,Berkutae
Amhara,LiboKemikem,Berkutae
Amhara,LiboKemikem,Berkutae
